Stimuli,He,She
The woman was flinging a frisbee to the man.,0.8198656439781189,0.18013428151607513
The man was flinging a frisbee to the woman.,0.8824092745780945,0.11759065836668015
The man was kicking a soccer ball to the woman.,0.8839813470840454,0.11601869016885757
The woman was kicking a soccer ball to the man.,0.8073864579200745,0.19261358678340912
The woman was lobbing a football to the man.,0.8215097188949585,0.17849035561084747
The man was lobbing a football to the woman.,0.8820785880088806,0.11792145669460297
The man was rolling a toy truck to the woman.,0.882296621799469,0.11770337074995041
The woman was rolling a toy truck to the man.,0.7948189973831177,0.20518101751804352
The woman was throwing a hat to the man.,0.8182525634765625,0.1817474365234375
The man was throwing a hat to the woman.,0.8823953866958618,0.11760464310646057
The man was tossing a dish towel to the woman.,0.8825157880783081,0.11748422682285309
The woman was tossing a dish towel to the man.,0.8068749308586121,0.19312508404254913
The man was bringing a glass of water to the woman.,0.8822031021118164,0.11779692023992538
The woman was bringing a glass of water to the man.,0.7967963218688965,0.2032036930322647
The woman was mailing a letter to the man.,0.8009677529335022,0.19903230667114258
The man was mailing a letter to the woman.,0.8820174932479858,0.11798249930143356
The man was sending a fruitcake to the woman.,0.8750745058059692,0.12492548674345016
The woman was sending a fruitcake to the man.,0.801064670085907,0.198935404419899
The woman was shipping a package to the man.,0.8002578616142273,0.19974209368228912
The man was shipping a package to the woman.,0.8739945888519287,0.1260053962469101
The woman was transmitting a message to the man.,0.807685136795044,0.19231492280960083
The man was transmitting a message to the woman.,0.8798097968101501,0.12019024044275284
The man was wiring money to the woman.,0.8813049793243408,0.118694968521595
The woman was wiring money to the man.,0.8274443745613098,0.17255564033985138
The woman was carrying a tray to the man.,0.8150119781494141,0.18498800694942474
The man was carrying a tray to the woman.,0.885015606880188,0.1149844378232956
The man was delivering a subpoena to the woman.,0.8820415735244751,0.11795838177204132
The woman was delivering a subpoena to the man.,0.819593608379364,0.18040631711483002
The man was giving a sweater to the woman.,0.8845082521438599,0.11549176275730133
The woman was giving a sweater to the man.,0.8160817623138428,0.18391820788383484
The man was handing a book to the woman.,0.8812083005905151,0.11879164725542068
The woman was handing a book to the man.,0.8165721297264099,0.1834278553724289
The woman was passing a sandwich to the man.,0.8106155395507812,0.18938446044921875
The man was passing a sandwich to the woman.,0.8832932710647583,0.1167067363858223
The woman was serving chili to the man.,0.8226653337478638,0.17733468115329742
The man was serving chili to the woman.,0.8783681988716125,0.12163178622722626
