stimulus,he,she
"Miss Smith was transmitting a message to Mr. Smith and, as a result,",0.7213955521583557,0.2786044478416443
"The woman was transmitting a message to the man and, as a result,",0.61346834897995,0.3865315914154053
"Mary was transmitting a message to John and, as a result,",0.5889127254486084,0.4110873341560364
"Alice was transmitting a message to Bob and, as a result,",0.3564170300960541,0.6435829997062683
"The actress was transmitting a message to the actor and, as a result,",0.43059131503105164,0.569408655166626
"The girl was transmitting a message to the boy and, as a result,",0.6553919315338135,0.3446080684661865
"Mrs. Taylor was transmitting a message to Mr. Williams and, as a result,",0.7004207372665405,0.2995792329311371
"Emma was transmitting a message to David and, as a result,",0.6413772702217102,0.3586226999759674
"The princess was transmitting a message to the prince and, as a result,",0.4346219301223755,0.5653780698776245
"Sarah was transmitting a message to Robert and, as a result,",0.6547755002975464,0.34522444009780884
"Mrs. Williams was transmitting a message to Mr. Taylor and, as a result,",0.6385079026222229,0.3614920973777771
"Emily was transmitting a message to Paul and, as a result,",0.5993891954421997,0.4006108343601227
"Mr. Smith was transmitting a message to Miss Smith and, as a result,",0.4129851758480072,0.5870147943496704
"The man was transmitting a message to the woman and, as a result,",0.41596418619155884,0.5840358138084412
"John was transmitting a message to Mary and, as a result,",0.4387289583683014,0.561271071434021
"Bob was transmitting a message to Alice and, as a result,",0.3552760183811188,0.6447239518165588
"The actor was transmitting a message to the actress and, as a result,",0.38477805256843567,0.6152219772338867
"The boy was transmitting a message to the girl and, as a result,",0.395395427942276,0.6046046018600464
"Mr. William was transmitting a message to  Mrs. Taylor and, as a result,",0.48644497990608215,0.513555109500885
"David was transmitting a message to Emma and, as a result,",0.3555558919906616,0.6444441080093384
"The prince was transmitting a message to the princess and, as a result,",0.3853621184825897,0.6146379113197327
"Robert was transmitting a message to Sarah and, as a result,",0.40553101897239685,0.5944689512252808
"Mr. Taylor was transmitting a message to Mrs. Williams and, as a result,",0.3576779365539551,0.6423220634460449
"Paul was transmitting a message to Emily and, as a result,",0.37403637170791626,0.6259636878967285
