stimulus,He,She
Miss Smith was tossing a dish towel to Mr. Smith.,0.3241710364818573,0.6758289337158203
The woman was tossing a dish towel to the man.,0.7848207354545593,0.21517929434776306
Mary was tossing a dish towel to John.,0.6149929165840149,0.3850071132183075
Alice was tossing a dish towel to Bob.,0.41446900367736816,0.5855309963226318
The actress was tossing a dish towel to the actor.,0.8061876893043518,0.193812295794487
The girl was tossing a dish towel to the boy.,0.7921505570411682,0.20784951746463776
Mrs. Taylor was tossing a dish towel to Mr. Williams.,0.2060883492231369,0.7939116358757019
Emma was tossing a dish towel to David.,0.7881739735603333,0.21182605624198914
The princess was tossing a dish towel to the prince.,0.7894166111946106,0.2105833739042282
Sarah was tossing a dish towel to Robert.,0.2849723696708679,0.7150276899337769
Mrs. Williams was tossing a dish towel to  Mr. Taylor.,0.3470301926136017,0.6529698371887207
Emily was tossing a dish towel to Paul.,0.36535054445266724,0.6346495151519775
Mr. Smith was tossing a dish towel to Miss Smith.,0.868645966053009,0.13135401904582977
The man was tossing a dish towel to the woman.,0.8928790092468262,0.10712102800607681
John was tossing a dish towel to Mary.,0.8881778717041016,0.11182213574647903
Bob was tossing a dish towel to Alice.,0.8836304545402527,0.1163695827126503
The actor was tossing a dish towel to the actress.,0.8792334198951721,0.1207665428519249
The boy was tossing a dish towel to the girl.,0.8802363872528076,0.11976361274719238
Mr. William was tossing a dish towel to  Mrs. Taylor.,0.3084997832775116,0.691500186920166
David was tossing a dish towel to Emma.,0.08669524639844894,0.9133047461509705
The prince was tossing a dish towel to the princess.,0.8828319907188416,0.11716792732477188
Robert was tossing a dish towel to Sarah.,0.1641443371772766,0.8358556628227234
Mr. Taylor was tossing a dish towel to Mrs. Williams.,0.14270591735839844,0.8572940826416016
Paul was tossing a dish towel to Emily.,0.8738637566566467,0.12613624334335327
