stimulus,he,she
"Miss Smith jogged to Mr. Smith and, as a result,",0.5953418016433716,0.40465813875198364
"The woman jogged to the man and, as a result,",0.45559003949165344,0.5444099307060242
"Mary jogged to John and, as a result,",0.5328301191329956,0.4671698212623596
"Alice jogged to Bob and, as a result,",0.3593631684780121,0.6406368613243103
"The actress jogged to the actor and, as a result,",0.5100818276405334,0.48991814255714417
"The girl jogged to the boy and, as a result,",0.44642144441604614,0.5535786151885986
"Mrs. Taylor jogged to Mr. Williams and, as a result,",0.6172258853912354,0.3827741742134094
"Emma jogged to David and, as a result,",0.5297442674636841,0.4702557325363159
"The princess jogged to the prince and, as a result,",0.32663610577583313,0.6733639240264893
"Sarah jogged to Robert and, as a result,",0.529930055141449,0.470069944858551
"Mrs. Williams jogged to Mr. Taylor and, as a result,",0.5946837067604065,0.4053163230419159
"Emily jogged to Paul and, as a result,",0.5105363130569458,0.4894636869430542
"Mr. Smith jogged to Miss Smith and, as a result,",0.4468902349472046,0.5531097650527954
"The man jogged to the woman and, as a result,",0.3780527114868164,0.6219473481178284
"John jogged to Mary and, as a result,",0.4032166302204132,0.5967833995819092
"Bob jogged to Alice and, as a result,",0.3584176301956177,0.6415823698043823
"The actor jogged to the actress and, as a result,",0.4316251277923584,0.5683748722076416
"The boy jogged to the girl and, as a result,",0.38388678431510925,0.6161131858825684
"Mr. William jogged to Mrs. Taylor and, as a result,",0.47073128819465637,0.529268741607666
"David jogged to Emma and, as a result,",0.33213186264038086,0.6678681969642639
"The prince jogged to the princess and, as a result,",0.43771877884864807,0.5622811913490295
"Robert jogged to Sarah and, as a result,",0.35261204838752747,0.6473879218101501
"Mr. Taylor jogged to Mrs. Williams and, as a result,",0.4465583562850952,0.5534416437149048
"Paul jogged to Emily and, as a result,",0.304434210062027,0.6955657601356506
