Stimuli,he,she
"Mary was flinging a frisbee to John and, as a result,",0.629503071308136,0.370496928691864
"John was flinging a frisbee to Mary and, as a result,",0.38912713527679443,0.6108729243278503
"John was kicking a soccer ball to Mary and, as a result,",0.6010932922363281,0.3989067077636719
"Mary was kicking a soccer ball to John and, as a result,",0.5911031365394592,0.40889692306518555
"Mary was lobbing a football to John and, as a result,",0.5631496906280518,0.43685030937194824
"John was lobbing a football to Mary and, as a result,",0.4082104563713074,0.5917895436286926
"John was rolling a toy truck to Mary and, as a result,",0.6003293395042419,0.39967069029808044
"Mary was rolling a toy truck to John and, as a result,",0.514446496963501,0.48555344343185425
"Mary was throwing a hat to John and, as a result,",0.5068009495735168,0.49319905042648315
"John was throwing a hat to Mary and, as a result,",0.4331500232219696,0.5668500065803528
"John was tossing a dish towel to Mary and, as a result,",0.37941527366638184,0.6205847859382629
"Mary was tossing a dish towel to John and, as a result,",0.7503416538238525,0.24965831637382507
"John was bringing a glass of water to Mary and, as a result,",0.3219442665576935,0.6780557632446289
"Mary was bringing a glass of water to John and, as a result,",0.708712637424469,0.29128727316856384
"Mary was mailing a letter to John and, as a result,",0.5982638597488403,0.40173619985580444
"John was mailing a letter to Mary and, as a result,",0.37041422724723816,0.629585862159729
"John was sending a fruitcake to Mary and, as a result,",0.2006034106016159,0.7993965744972229
"Mary was sending a fruitcake to John and, as a result,",0.6440467238426208,0.35595327615737915
"Mary was shipping a package to John and, as a result,",0.4045411944389343,0.5954588055610657
"John was shipping a package to Mary and, as a result,",0.5337197780609131,0.4662802219390869
"Mary was transmitting a message to John and, as a result,",0.6925077438354492,0.3074922263622284
"John was transmitting a message to Mary and, as a result,",0.21513840556144714,0.7848616242408752
"John was wiring money to Mary and, as a result,",0.5106578469276428,0.4893421530723572
"Mary was wiring money to John and, as a result,",0.5713275671005249,0.4286724627017975
"Mary was carrying a tray to John and, as a result,",0.3002346158027649,0.6997653841972351
"John was carrying a tray to Mary and, as a result,",0.6144834756851196,0.38551652431488037
"John was delivering a subpoena to Mary and, as a result,",0.43670299649238586,0.5632969737052917
"Mary was delivering a subpoena to John and, as a result,",0.4703559875488281,0.5296440124511719
"John was giving a sweater to Mary and, as a result,",0.46735551953315735,0.532644510269165
"Mary was giving a sweater to John and, as a result,",0.5032941699028015,0.4967058002948761
"John was handing a book to Mary and, as a result,",0.3607344627380371,0.6392655968666077
"Mary was handing a book to John and, as a result,",0.5554302930831909,0.44456973671913147
"Mary was passing a sandwich to John and, as a result,",0.6782214641571045,0.3217785656452179
"John was passing a sandwich to Mary and, as a result,",0.3667786419391632,0.6332212686538696
"Mary was serving chili to John and, as a result,",0.4250364601612091,0.5749635100364685
"John was serving chili to Mary and, as a result,",0.545168399810791,0.4548315405845642
