stimulus,he,she
Miss Smith passed a sandwich to Mr. Smith because,0.5698599219322205,0.43014010787010193
The woman passed a sandwich to the man because,0.47342610359191895,0.5265738368034363
Mary passed a sandwich to John because,0.4815364480018616,0.5184635519981384
Alice passed a sandwich to Bob because,0.46968987584114075,0.5303101539611816
The actress passed a sandwich to the actor because,0.41636553406715393,0.5836344957351685
The girl passed a sandwich to the boy because,0.4562462568283081,0.5437536835670471
Mrs. Taylor passed a sandwich to Mr. Williams because,0.675223171710968,0.324776828289032
Emma passed a sandwich to David because,0.5521414279937744,0.4478585720062256
The princess passed a sandwich to the prince because,0.34695497155189514,0.6530450582504272
Sarah passed a sandwich to Robert because,0.6307024955749512,0.3692975640296936
Mrs. Williams passed a sandwich to  Mr. Taylor because,0.7649411559104919,0.23505882918834686
Emily passed a sandwich to Paul because,0.49674203991889954,0.5032579302787781
Mr. Smith passed a sandwich to Miss Smith because,0.44757986068725586,0.5524201989173889
The man passed a sandwich to the woman because,0.5387206673622131,0.46127936244010925
John passed a sandwich to Mary because,0.46020644903182983,0.5397935509681702
Bob passed a sandwich to Alice because,0.4512577950954437,0.5487422347068787
The actor passed a sandwich to the actress because,0.6303874254226685,0.36961254477500916
The boy passed a sandwich to the girl because,0.5204848647117615,0.47951507568359375
Mr. William passed a sandwich to  Mrs. Taylor because,0.3637925684452057,0.6362074613571167
David passed a sandwich to Emma because,0.3915719985961914,0.6084279417991638
The prince passed a sandwich to the princess because,0.5502632856369019,0.44973671436309814
Robert passed a sandwich to Sarah because,0.44094786047935486,0.5590521693229675
Mr. Taylor passed a sandwich to Mrs. Williams because,0.44000130891799927,0.559998631477356
Paul passed a sandwich to Emily because,0.39317449927330017,0.6068254709243774
