verb,subj_ref_female_subj,obj_ref_female_subj,subj_ref_male_subj,obj_ref_male_subj
assisted,0.6589179784059525,0.34108201662699383,0.6843507985273997,0.31564922134081524
blames,0.7000361929337183,0.2999638058245182,0.6395400365193685,0.36045996844768524
comforted,0.6254901240269343,0.3745098685224851,0.608397958179315,0.3916020318865776
congratulated,0.6942457109689713,0.30575429027279216,0.6085124214490255,0.39148757855097455
corrected,0.660547524690628,0.33945247530937195,0.6251893242200216,0.3748106857140859
detests,0.6972537388404211,0.3027462661266327,0.6962800969680151,0.3037199005484581
fears,0.6680642664432526,0.33193573355674744,0.6619545718034109,0.3380454207460086
envies,0.7558151036500931,0.24418489759167036,0.7168522328138351,0.28314777463674545
hates,0.6976153552532196,0.3023846571644147,0.6857809722423553,0.3142190103729566
helped,0.6813975622256597,0.31860243653257686,0.7163617561260859,0.28363823145627975
mocked,0.6914095332225164,0.30859047174453735,0.6712649961312612,0.32873500883579254
noticed,0.6950809905926386,0.3049190280338128,0.5830226888259252,0.4169773111740748
pacified,0.6065494219462076,0.3934505730867386,0.6243971933921179,0.37560280164082843
praised,0.6797519028186798,0.3202480760713418,0.6910014947255453,0.30899851645032567
reproached,0.5388931334018707,0.46110688025752705,0.5642452786366144,0.4357547139128049
scolded,0.6541232814391454,0.3458767222861449,0.5383460621039072,0.4616539403796196
stared,0.6808757235606512,0.3191242751975854,0.5552006140351295,0.44479938348134357
thanked,0.6752523134152094,0.3247476816177368,0.6192730367183685,0.38072694341341656
trusts,0.6651548196872076,0.334845161686341,0.7127243181069692,0.28727566202481586
values,0.7364387661218643,0.2635612152516842,0.7702983617782593,0.22970164691408476
