Stimuli,he,she
"John rolled a beach ball to Mary and, as a result,",0.4449392557144165,0.5550607442855835
"Mary rolled a beach ball to John and, as a result,",0.7599183320999146,0.24008162319660187
"John handed a gift to Mary and, as a result,",0.121082603931427,0.878917396068573
"Mary handed a gift to John and, as a result,",0.6435461044311523,0.35645386576652527
"Mary carried a banana to John and, as a result,",0.39291539788246155,0.6070846319198608
"John carried a banana to Mary and, as a result,",0.47119638323783875,0.5288035869598389
"John threw a Frisbee to Mary and, as a result,",0.27100685238838196,0.7289931774139404
"Mary threw a Frisbee to John and, as a result,",0.750482439994812,0.24951758980751038
"John mailed a letter to Mary and, as a result,",0.1801341325044632,0.819865882396698
"John gave a book to Mary and, as a result,",0.1998106986284256,0.8001892566680908
"Mary gave a book to John and, as a result,",0.8531213998794556,0.14687861502170563
"John brought flowers to Mary and, as a result,",0.2839791476726532,0.7160208225250244
"Mary brought flowers to John and, as a result,",0.7890483140945435,0.21095161139965057
"Mary kicked a soccer ball to John and, as a result,",0.7825956344604492,0.2174043357372284
"John kicked a soccer ball to Mary and, as a result,",0.38546234369277954,0.6145376563072205
"Mary mailed a letter to John and, as a result,",0.7567222118377686,0.24327778816223145
